OID_,GEOID,INTPTLAT,INTPTLON,NAME_1,COALIT,COUNT,SUM_SQ_FT
3764,410510079002006,+45.5526711,-122.5526950,PARKROSE,EPNO,79.000000000000000,111613.000000000000000
3765,410510106001054,+45.5189984,-122.6768848,DOWNTOWN,NWNW,5.000000000000000,39490.000000000000000
3766,410510081002008,+45.5244656,-122.5595225,HAZELWOOD,EPNO,34.000000000000000,224309.000000000000000
3767,410510009023014,+45.4927210,-122.6381033,CRESTON-KENILWORTH,SEUL,20.000000000000000,28796.000000000000000
3768,410510009014003,+45.5041687,-122.6350914,RICHMOND,SEUL,17.000000000000000,30290.000000000000000
3769,410510007012012,+45.4993668,-122.5864743,SOUTH TABOR,SEUL,26.000000000000000,23923.000000000000000
3770,410510093011014,+45.5322570,-122.5046828,WILKES,EPNO,44.000000000000000,79992.000000000000000
3771,410510072021175,+45.5990223,-122.6547148,EAST COLUMBIA,NPNS,35.000000000000000,54665.000000000000000
3772,410510039015024,+45.5855468,-122.7055658,KENTON,NPNS,22.000000000000000,39340.000000000000000
3773,410510052001011,+45.5227971,-122.6890604,GOOSE HOLLOW,NWNW,1.000000000000000,2066.000000000000000
3774,410510082012002,+45.5110899,-122.5522943,HAZELWOOD,EPNO,20.000000000000000,42264.000000000000000
3775,410510095023001,+45.5533844,-122.5212108,ARGAY,EPNO,18.000000000000000,56361.000000000000000
3776,410510005021012,+45.4859456,-122.5857153,FOSTER-POWELL,SEUL,19.000000000000000,21988.000000000000000
3777,410510039024016,+45.5741140,-122.7024831,ARBOR LODGE,NPNS,7.000000000000000,10202.000000000000000
3778,410510039013027,+45.5782735,-122.7040419,KENTON,NPNS,33.000000000000000,40326.000000000000000
3779,410510008023020,+45.4921525,-122.6119526,CRESTON-KENILWORTH,SEUL,10.000000000000000,11883.000000000000000
3780,410510039012015,+45.5788065,-122.6936214,KENTON,NPNS,32.000000000000000,32349.000000000000000
3781,410510029034017,+45.5453498,-122.5736572,MADISON SOUTH,CNN,30.000000000000000,36023.000000000000000
