OID_,GEOID,INTPTLAT,NAME,COALIT,INTPTLON,COUNT,SUM_SQ_FT
9718,410510038011002,+45.5781250,KENTON,NPNS,-122.6791858,62.000000000000000,103011.000000000000000
9719,410510072022004,+45.6014801,BRIDGETON,NPNS,-122.6610771,4.000000000000000,18106.000000000000000
9720,410510022031018,+45.5442190,ELIOT,NECN,-122.6713424,3.000000000000000,37711.000000000000000
9721,410510093013007,+45.5208335,GLENFAIR,EPCO,-122.5021042,11.000000000000000,20181.000000000000000
9722,410510095022009,+45.5487846,ARGAY TERRACE,EPCO,-122.5339733,18.000000000000000,36438.000000000000000
9723,410510083022029,+45.4902314,LENTS/POWELLHURST-GILBERT,EPCO,-122.5544715,16.000000000000000,40202.000000000000000
9724,410510023031041,+45.5345654,ELIOT,NECN,-122.6704507,1.000000000000000,4437.000000000000000
9725,410510095011016,+45.5505803,ARGAY TERRACE/WILKES,EPCO,-122.5106361,7.000000000000000,6625.000000000000000
9726,410510037022006,+45.5657845,HUMBOLDT,NECN,-122.6650130,11.000000000000000,14816.000000000000000
9727,410510078001004,+45.5579013,PARKROSE,EPCO,-122.5633247,16.000000000000000,21819.000000000000000
9728,410510083022017,+45.4929386,LENTS/POWELLHURST-GILBERT,EPCO,-122.5564352,9.000000000000000,15915.000000000000000
9729,410510037014011,+45.5782895,PIEDMONT,NPNS,-122.6695254,34.000000000000000,35124.000000000000000
9730,410510037023021,+45.5651883,HUMBOLDT,NECN,-122.6723460,13.000000000000000,17026.000000000000000
9731,410510072011019,+45.6177328,HAYDEN ISLAND,NPNS,-122.6871387,44.000000000000000,39379.000000000000000
9732,410510009012008,+45.4994382,RICHMOND,SEUL,-122.6232308,17.000000000000000,15497.000000000000000
9733,410510004022033,+45.4824372,MT. SCOTT-ARLETA,SEUL,-122.6018228,12.000000000000000,12895.000000000000000
9734,410510039042009,+45.5809247,KENTON,NPNS,-122.6960324,28.000000000000000,34941.000000000000000
9735,410510016016007,+45.5183400,MT. TABOR,SEUL,-122.5927117,26.000000000000000,36633.000000000000000
9736,410510016015012,+45.5158546,MT. TABOR,SEUL,-122.5886459,28.000000000000000,38289.000000000000000
9737,410510034022029,+45.5488954,BOISE,NECN,-122.6704096,9.000000000000000,10099.000000000000000
9738,410510080022005,+45.5357092,PARKROSE HEIGHTS,EPCO,-122.5479296,75.000000000000000,126677.000000000000000
9739,410510023033005,+45.5361056,ELIOT,NECN,-122.6612419,3.000000000000000,11354.000000000000000
9740,410510073001155,+45.5609060,ARGAY TERRACE,EPCO,-122.5191196,5.000000000000000,184328.000000000000000
9741,410510009014016,+45.5015875,RICHMOND,SEUL,-122.6325457,19.000000000000000,28487.000000000000000
9742,410510005022007,+45.4813306,MT. SCOTT-ARLETA,SEUL,-122.5828462,32.000000000000000,32157.000000000000000
9743,410510005012025,+45.4775881,MT. SCOTT-ARLETA,SEUL,-122.5931884,20.000000000000000,20047.000000000000000
9744,410510037023007,+45.5683720,PIEDMONT,NPNS,-122.6709575,12.000000000000000,14064.000000000000000
9745,410510015002012,+45.5059973,MT. TABOR,SEUL,-122.6095398,32.000000000000000,32460.000000000000000
9746,410510035014022,+45.5575885,HUMBOLDT,NECN,-122.6754441,21.000000000000000,39171.000000000000000
9747,410510080022012,+45.5353635,PARKROSE HEIGHTS,EPCO,-122.5413853,42.000000000000000,73947.000000000000000
9748,410510081003001,+45.5317054,HAZELWOOD,EPCO,-122.5408345,42.000000000000000,94235.000000000000000
9749,410510095021000,+45.5521375,ARGAY TERRACE,EPCO,-122.5215768,24.000000000000000,53865.000000000000000
9750,410510006014002,+45.4890999,LENTS,EPCO,-122.5763016,33.000000000000000,37439.000000000000000
9751,410510094003015,+45.5358115,WILKES,EPCO,-122.5161899,46.000000000000000,68179.000000000000000
9752,410510094002007,+45.5353855,RUSSELL,EPCO,-122.5258169,44.000000000000000,134175.000000000000000
9753,410510077002017,+45.5560481,SUMNER,CNN,-122.5781068,17.000000000000000,20625.000000000000000
9754,410510095011021,+45.5454856,ARGAY TERRACE,EPCO,-122.5165151,28.000000000000000,55346.000000000000000
9755,410510007011007,+45.5036111,SOUTH TABOR,SEUL,-122.5885117,51.000000000000000,209237.000000000000000
9756,410510038021017,+45.5745867,ARBOR LODGE,NPNS,-122.6800660,18.000000000000000,16547.000000000000000
9757,410510029032017,+45.5339583,MADISON SOUTH,CNN,-122.5699856,25.000000000000000,34916.000000000000000
9758,410510038021019,+45.5745917,ARBOR LODGE,NPNS,-122.6812100,10.000000000000000,18444.000000000000000
9759,410510034022008,+45.5526845,BOISE,NECN,-122.6703885,11.000000000000000,12913.000000000000000
9760,410510037011025,+45.5747742,PIEDMONT,NPNS,-122.6677151,32.000000000000000,28630.000000000000000
9761,410510099032050,+45.4651357,PLEASANT VALLEY,EPCO,-122.4753351,17.000000000000000,38984.000000000000000
9762,410510016013018,+45.5080948,MT. TABOR,SEUL,-122.5875858,41.000000000000000,39511.000000000000000
9763,410510038023008,+45.5762235,ARBOR LODGE,NPNS,-122.6916658,14.000000000000000,17528.000000000000000
9764,410510038013009,+45.5813265,KENTON,NPNS,-122.6879603,21.000000000000000,35335.000000000000000
9765,410510072021006,+45.5898178,EAST COLUMBIA,NPNS,-122.6448275,25.000000000000000,46651.000000000000000
9766,410510095011013,+45.5460940,ARGAY TERRACE,EPCO,-122.5149407,12.000000000000000,32809.000000000000000
9767,410510034014004,+45.5615166,HUMBOLDT,NECN,-122.6734562,10.000000000000000,14407.000000000000000
9768,410510083022003,+45.4928224,LENTS/POWELLHURST-GILBERT,EPCO,-122.5603165,33.000000000000000,37930.000000000000000
9769,410510034023022,+45.5514722,BOISE,NECN,-122.6752662,4.000000000000000,30804.000000000000000
9770,410510099032046,+45.4620882,PLEASANT VALLEY,EPCO,-122.4678185,6.000000000000000,8517.000000000000000
9771,410510017023010,+45.5219341,MONTAVILLA,SEUL,-122.5775312,30.000000000000000,32721.000000000000000
9772,410510082011010,+45.5186896,HAZELWOOD,EPCO,-122.5613088,2.000000000000000,18364.000000000000000
9773,410510089031025,+45.4708099,PLEASANT VALLEY,EPCO,-122.4931512,30.000000000000000,45850.000000000000000
9774,410510038021009,+45.5753888,ARBOR LODGE,NPNS,-122.6791040,9.000000000000000,9745.000000000000000
9775,410510095012010,+45.5431061,WILKES,EPCO,-122.4968250,55.000000000000000,122810.000000000000000
9776,410510082013010,+45.5089775,HAZELWOOD,EPCO,-122.5639865,13.000000000000000,20539.000000000000000
9777,410510039021013,+45.5708392,ARBOR LODGE,NPNS,-122.6950320,34.000000000000000,39851.000000000000000
9778,410510080022003,+45.5384043,PARKROSE HEIGHTS,EPCO,-122.5454618,103.000000000000000,194071.000000000000000
9779,410510039031017,+45.5815622,KENTON,NPNS,-122.7072839,21.000000000000000,31663.000000000000000
9780,410510090023004,+45.4969728,POWELLHURST-GILBERT,EPCO,-122.5363871,3.000000000000000,5049.000000000000000
9781,410510018021001,+45.5224460,MT. TABOR,SEUL,-122.5970676,19.000000000000000,33933.000000000000000
9782,410510006011012,+45.4883975,LENTS,EPCO,-122.5615569,13.000000000000000,14233.000000000000000
9783,410510005023010,+45.4772170,MT. SCOTT-ARLETA,SEUL,-122.5874004,10.000000000000000,18490.000000000000000
9784,410510018022004,+45.5189145,MT. TABOR,SEUL,-122.6073807,13.000000000000000,14187.000000000000000
9785,410510092032013,+45.5046171,HAZELWOOD,EPCO,-122.5282746,23.000000000000000,45319.000000000000000
9786,410510034013004,+45.5557050,HUMBOLDT,NECN,-122.6692680,20.000000000000000,23014.000000000000000
