OID_,GEOID,INTPTLAT,INTPTLON,COUNT,SUM_SQ_FT
123,410510037022025,+45.5644971,-122.6617440,3.000000000000000,7901.000000000000000
124,410510041013011,+45.6007885,-122.7469521,33.000000000000000,26696.000000000000000
125,410510066011005,+45.4731302,-122.7237468,3.000000000000000,6391.000000000000000
126,410510036013004,+45.5714106,-122.6553898,20.000000000000000,21120.000000000000000
127,410510037011030,+45.5747748,-122.6659022,27.000000000000000,27188.000000000000000
128,410510034023002,+45.5539537,-122.6725750,13.000000000000000,10785.000000000000000
129,410050201001043,+45.4281902,-122.6848493,107.000000000000000,277618.000000000000000
130,410510008014006,+45.5043925,-122.6170707,24.000000000000000,24394.000000000000000
131,410510094005006,+45.5368229,-122.5081393,9.000000000000000,21975.000000000000000
132,410050222082000,+45.4608559,-122.5147510,5.000000000000000,11182.000000000000000
133,410510088002011,+45.4651623,-122.6034849,38.000000000000000,41859.000000000000000
134,410510097011004,+45.5183099,-122.5052898,42.000000000000000,84276.000000000000000
135,410510040024008,+45.5825042,-122.7285737,7.000000000000000,10968.000000000000000
136,410510051001040,+45.5276195,-122.6807626,1.000000000000000,33381.000000000000000
137,410510073001196,+45.5658617,-122.5531075,16.000000000000000,20839.000000000000000
138,410050216013010,+45.4517039,-122.5982309,12.000000000000000,19678.000000000000000
139,410510036011002,+45.5673422,-122.6524910,35.000000000000000,35555.000000000000000
140,410510027021047,+45.5356889,-122.6214840,1.000000000000000,22707.000000000000000
141,410510034022030,+45.5501610,-122.6704020,10.000000000000000,13331.000000000000000
142,410050210001000,+45.4607107,-122.6022927,20.000000000000000,33405.000000000000000
143,410510021001089,+45.5246978,-122.6561310,2.000000000000000,31752.000000000000000
144,410510021002062,+45.5196940,-122.6521060,7.000000000000000,26776.000000000000000
145,410050201002007,+45.4272549,-122.6735966,5.000000000000000,11035.000000000000000
146,410510040024055,+45.5791510,-122.7262230,6.000000000000000,7052.000000000000000
147,410050211002002,+45.4473320,-122.6182515,7.000000000000000,70781.000000000000000
148,410510035021045,+45.5514858,-122.6795589,11.000000000000000,12365.000000000000000
149,410050210002012,+45.4594246,-122.6193505,26.000000000000000,26503.000000000000000
150,410510068021016,+45.4953091,-122.7130718,44.000000000000000,113582.000000000000000
151,410510051002026,+45.5255288,-122.6780345,8.000000000000000,31066.000000000000000
152,410510041014074,+45.6001102,-122.7588188,14.000000000000000,78248.000000000000000
153,410050211001004,+45.4460128,-122.6268712,57.000000000000000,120481.000000000000000
154,410510043001131,+45.5565438,-122.7311209,1.000000000000000,278.000000000000000
155,410050222082013,+45.4591883,-122.5279914,3.000000000000000,3368.000000000000000
156,410050208001014,+45.4516053,-122.6422325,2.000000000000000,65057.000000000000000
157,410510058004011,+45.4955109,-122.7014062,16.000000000000000,27686.000000000000000
158,410510031004022,+45.5500022,-122.6406231,19.000000000000000,20391.000000000000000
159,410510064032008,+45.4484395,-122.7144444,3.000000000000000,158704.000000000000000
160,410510037021005,+45.5694716,-122.6644473,7.000000000000000,7941.000000000000000
161,410510056004010,+45.5132730,-122.6811608,1.000000000000000,36257.000000000000000
