OID_,gidbk20,intptlat20,intptlon20,DISTRICT
1272,410510037022027.000000000000000,45.563298500000002,-122.662348899999998,2
1275,410510092023013.000000000000000,45.509863199999998,-122.516245699999999,1
1276,410510003022031.000000000000000,45.472900400000000,-122.621175300000004,3
1279,410510006013004.000000000000000,45.485731600000001,-122.572884000000002,1
1283,410510056023003.000000000000000,45.510882000000002,-122.683627200000004,4
1284,410510013022001.000000000000000,45.508424400000003,-122.624832499999997,3
1286,410510043001061.000000000000000,45.576688799999999,-122.793430200000003,4
1287,410510033012001.000000000000000,45.559560200000000,-122.656066899999999,2
1288,410510027012021.000000000000000,45.542896200000001,-122.611169599999997,3
1292,410510035021020.000000000000000,45.552740700000001,-122.677402400000005,2
1293,410510042003009.000000000000000,45.593071000000002,-122.762000900000004,2
1294,410510060011000.000000000000000,45.502726899999999,-122.683218400000001,4
1295,410510048003002.000000000000000,45.525924600000003,-122.695420200000001,4
1296,410510040022024.000000000000000,45.576557500000000,-122.725948000000002,2
1297,410510065012036.000000000000000,45.444460499999998,-122.742147399999993,4
1299,410510057021002.000000000000000,45.506679400000003,-122.679730399999997,4
1301,410510003014003.000000000000000,45.488565700000002,-122.636917600000004,4
1308,410510021021011.000000000000000,45.525768499999998,-122.648021000000000,3
1309,410510087002004.000000000000000,45.474650099999998,-122.607518999999996,3
1311,410510066022003.000000000000000,45.471995000000000,-122.719268700000001,4
1318,410510016012017.000000000000000,45.511201399999997,-122.586126699999994,3
